"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 19일","3.474","3.385","3.507","3.379","2.60%"
"2022년 12월 18일","3.385","3.385","3.385","3.385","1.14%"
"2022년 12월 17일","3.348","3.348","3.348","3.348","0.31%"
"2022년 12월 16일","3.337","3.363","3.434","3.332","0.91%"
"2022년 12월 15일","3.307","3.356","3.362","3.243","-1.17%"
"2022년 12월 14일","3.346","3.329","3.442","3.317","-0.56%"
"2022년 12월 13일","3.365","3.225","3.365","3.225","4.28%"
"2022년 12월 12일","3.227","3.145","3.258","3.064","2.41%"
"2022년 12월 09일","3.151","3.076","3.166","3.073","2.94%"
"2022년 12월 08일","3.061","2.979","3.061","2.967","2.72%"
"2022년 12월 07일","2.980","2.918","3.032","2.915","1.33%"
"2022년 12월 06일","2.941","2.963","2.972","2.874","-0.24%"
"2022년 12월 05일","2.948","3.003","3.008","2.931","-1.86%"
"2022년 12월 02일","3.004","2.914","3.035","2.865","2.49%"
"2022년 12월 01일","2.931","2.925","2.984","2.893","-1.48%"
"2022년 11월 30일","2.975","2.943","2.997","2.918","2.06%"
"2022년 11월 29일","2.915","2.865","2.973","2.839","0.59%"
"2022년 11월 28일","2.898","2.828","2.932","2.802","0.68%"
"2022년 11월 27일","2.878","2.878","2.878","2.878","0.17%"
"2022년 11월 26일","2.874","2.874","2.874","2.874","0.33%"
"2022년 11월 25일","2.864","2.840","2.891","2.805","2.32%"
"2022년 11월 24일","2.799","2.648","2.805","2.635","3.06%"
"2022년 11월 23일","2.716","2.840","2.846","2.668","-3.59%"
"2022년 11월 22일","2.817","2.799","2.854","2.785","0.75%"
"2022년 11월 21일","2.796","2.876","2.915","2.739","-2.41%"
