"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 16일","2.806","2.759","2.850","2.750","3.47%"
"2022년 12월 15일","2.712","2.684","2.773","2.612","3.35%"
"2022년 12월 14일","2.624","2.516","2.639","2.505","3.96%"
"2022년 12월 13일","2.524","2.529","2.553","2.422","0.32%"
"2022년 12월 12일","2.516","2.530","2.532","2.447","0.00%"
"2022년 12월 09일","2.516","2.442","2.541","2.435","3.45%"
"2022년 12월 08일","2.432","2.418","2.470","2.392","0.75%"
"2022년 12월 07일","2.414","2.370","2.468","2.365","0.37%"
"2022년 12월 06일","2.405","2.466","2.470","2.394","-2.47%"
"2022년 12월 05일","2.466","2.472","2.492","2.413","0.37%"
"2022년 12월 02일","2.457","2.465","2.506","2.431","-0.57%"
"2022년 12월 01일","2.471","2.507","2.553","2.454","-3.66%"
"2022년 11월 30일","2.565","2.583","2.621","2.552","-0.23%"
"2022년 11월 29일","2.571","2.590","2.623","2.552","-2.65%"
"2022년 11월 28일","2.641","2.568","2.670","2.560","1.23%"
"2022년 11월 25일","2.609","2.500","2.636","2.500","4.28%"
"2022년 11월 24일","2.502","2.526","2.551","2.477","-3.32%"
"2022년 11월 23일","2.588","2.709","2.734","2.553","-3.54%"
"2022년 11월 22일","2.683","2.719","2.746","2.675","-0.59%"
"2022년 11월 21일","2.699","2.726","2.776","2.665","-1.06%"
"2022년 11월 19일","2.728","2.728","2.728","2.728","-0.44%"
