"날짜","종가","오픈","고가","저가","변동 %"
"2022년 12월 20일","2.763","2.681","2.798","2.681","3.42%"
"2022년 12월 19일","2.672","2.645","2.701","2.626","1.64%"
"2022년 12월 16일","2.629","2.598","2.712","2.597","3.34%"
"2022년 12월 15일","2.544","2.428","2.588","2.346","6.89%"
"2022년 12월 14일","2.380","2.331","2.440","2.318","1.23%"
"2022년 12월 13일","2.351","2.432","2.442","2.267","-1.05%"
"2022년 12월 12일","2.376","2.367","2.387","2.302","0.89%"
"2022년 12월 09일","2.355","2.259","2.381","2.253","4.81%"
"2022년 12월 08일","2.247","2.208","2.276","2.186","1.86%"
"2022년 12월 07일","2.206","2.182","2.269","2.164","-0.72%"
"2022년 12월 06일","2.222","2.305","2.323","2.194","-2.88%"
"2022년 12월 05일","2.288","2.288","2.319","2.230","1.42%"
"2022년 12월 02일","2.256","2.229","2.305","2.173","1.62%"
"2022년 12월 01일","2.220","2.277","2.328","2.213","-6.33%"
"2022년 11월 30일","2.370","2.361","2.418","2.343","1.46%"
"2022년 11월 29일","2.336","2.345","2.393","2.292","-3.47%"
"2022년 11월 28일","2.420","2.341","2.458","2.325","6.14%"
"2022년 11월 25일","2.280","2.138","2.293","2.129","7.16%"
"2022년 11월 24일","2.128","2.158","2.169","2.079","-3.38%"
"2022년 11월 23일","2.202","2.281","2.325","2.175","-2.48%"
"2022년 11월 22일","2.258","2.275","2.316","2.238","-0.19%"
"2022년 11월 21일","2.262","2.272","2.333","2.222","-0.88%"
